,entry_id,Date,Time,Ethanol,humidity,methane,temperature,Hour,Mins,Secs,Year,Month,Day,E1,H1,M1,T1,E2,H2,M2,T2,Spoiled
17,18,2022-06-30,20:32:29,117,67.0,175.0,32.2,20,32,29,2022,6,30,118.0,66.8,176.4,32.2,117.92961202841309,66.797583081571,176.38737923256528,32.19987577567865,No
18,19,2022-06-30,20:33:23,123,67.0,176.0,32.2,20,33,23,2022,6,30,118.6,66.8,177.4,32.18,118.51694881757886,66.797583081571,177.3806397459425,32.17982611712997,No
19,20,2022-06-30,20:34:12,114,66.0,177.0,32.1,20,34,12,2022,6,30,119.0,66.8,176.8,32.14,118.91506890614352,66.79758308157099,176.78342117665372,32.13992537313433,No
20,21,2022-06-30,20:35:20,121,67.0,180.0,32.1,20,35,20,2022,6,30,119.6,66.8,174.6,32.1,119.52246300546518,66.79758308157099,174.41979876403389,32.09987538868249,No
21,22,2022-06-30,20:36:29,120,67.0,176.0,32.1,20,36,29,2022,6,30,117.8,66.8,160.2,32.08,117.71633384536612,66.79758308157099,153.37405979501128,32.07995003123048,No
22,23,2022-06-30,20:36:47,120,67.0,164.0,32.0,20,36,47,2022,6,30,117.6,67.0,148.0,32.06,117.50158681817703,67.0,140.56390703771174,32.059925093632955,No
23,24,2022-06-30,20:37:03,114,67.0,104.0,32.1,20,37,3,2022,6,30,115.8,67.2,135.0,32.04,115.69594754973348,67.1976401179941,129.16190127504004,32.039925140361824,No
24,25,2022-06-30,20:37:21,113,67.0,116.0,32.0,20,37,21,2022,6,30,114.2,67.4,127.6,32.04,114.12407927709016,67.39644970414201,124.30534436825188,32.039925140361824,No
25,26,2022-06-30,20:39:37,112,68.0,115.0,32.0,20,39,37,2022,6,30,112.8,67.6,117.8,32.04,112.79504659453374,67.59643916913947,116.76343920913091,32.039925140361824,No
26,27,2022-06-30,20:41:03,112,68.0,139.0,32.1,20,41,3,2022,6,30,119.4,67.8,119.8,32.019999999999996,118.03872801563332,67.79761904761905,119.10953209200072,32.01995012468828,No
27,28,2022-06-30,20:41:19,113,68.0,115.0,32.0,20,41,19,2022,6,30,119.2,68.0,123.6,32.019999999999996,117.81895558116855,68.0,122.65458015552619,32.01995012468828,No
28,29,2022-06-30,20:41:54,147,68.0,114.0,32.0,20,41,54,2022,6,30,119.6,68.0,122.0,31.98,118.25544470984966,68.0,120.72912159759387,31.979699009621825,No
29,30,2022-06-30,20:42:11,112,68.0,135.0,32.0,20,42,11,2022,6,30,120.0,68.0,121.0,31.939999999999998,118.69518002623178,68.0,119.95162485631252,31.93979919947419,No
30,31,2022-06-30,20:42:28,114,68.0,107.0,31.8,20,42,28,2022,6,30,119.8,68.2,120.2,31.939999999999998,118.4729586426299,68.19767441860466,119.05661292243488,31.93979919947419,No
31,32,2022-06-30,20:42:45,114,68.0,134.0,31.9,20,42,45,2022,6,30,113.0,68.4,124.4,31.939999999999998,112.99292024309254,68.39650145772595,123.05479658709899,31.93979919947419,No
32,33,2022-06-30,20:43:20,112,69.0,111.0,32.0,20,43,20,2022,6,30,113.4,68.6,119.0,31.939999999999998,113.39432236159578,68.59649122807016,117.69093224362302,31.93979919947419,No
33,34,2022-06-30,20:43:36,113,69.0,135.0,32.0,20,43,36,2022,6,30,114.4,68.8,122.2,31.98,114.35014256862225,68.79765395894428,121.15794952894477,31.979949874686717,No
34,35,2022-06-30,20:43:53,114,69.0,108.0,32.0,20,43,53,2022,6,30,107.6,69.0,122.0,32.04,105.36648332991953,69.0,120.99344142357688,32.039800995024876,No
35,36,2022-06-30,20:44:10,119,69.0,123.0,32.0,20,44,10,2022,6,30,105.4,69.0,122.0,32.14,103.25066379662685,69.0,120.9934414235769,32.138812645156335,No
36,37,2022-06-30,20:46:03,80,69.0,133.0,32.2,20,46,3,2022,6,30,103.6,69.0,117.2,32.17999999999999,101.64323387303195,69.0,116.47910076130383,32.17895991082754,No
37,38,2022-06-30,20:46:20,101,69.0,111.0,32.5,20,46,20,2022,6,30,102.0,69.0,123.6,32.220000000000006,100.29346203358594,69.0,122.51973062310107,32.21920760453347,No
38,39,2022-06-30,20:46:54,104,69.0,111.0,32.2,20,46,54,2022,6,30,99.4,69.4,122.0,32.24,98.26213732751106,69.39093484419263,120.84497417956503,32.23943207795972,No
39,40,2022-06-30,20:47:11,106,69.0,140.0,32.2,20,47,11,2022,6,30,104.6,69.8,122.0,32.22,104.56256338980505,69.78632478632478,120.84497417956503,32.21933314406728,No
40,41,2022-06-30,20:47:28,106,71.0,115.0,32.1,20,47,28,2022,6,30,106.4,70.0,127.6,32.14,106.36446565153325,69.98857096208009,126.38850435346174,32.13992537313433,No
41,42,2022-06-30,20:47:46,106,71.0,133.0,32.1,20,47,46,2022,6,30,106.0,70.2,132.6,32.12,105.93957101118792,70.19199279515311,131.91048670756422,32.11995027967682,No
42,43,2022-06-30,20:48:03,110,70.0,139.0,32.1,20,48,3,2022,6,30,106.6,70.4,132.2,32.120000000000005,106.52561626419455,70.39660056657223,131.55121166909137,32.11995027967682,No
43,44,2022-06-30,20:48:20,102,70.0,136.0,32.1,20,48,20,2022,6,30,106.8,70.4,136.8,32.14,106.72609347948944,70.39660056657225,136.7662149418435,32.13992537313433,No
44,45,2022-06-30,20:48:37,109,70.0,138.0,32.2,20,48,37,2022,6,30,106.8,70.4,138.0,32.18000000000001,106.72609347948945,70.39660056657223,137.9912405052578,32.17982611712997,No
45,46,2022-06-30,20:48:54,107,71.0,138.0,32.2,20,48,54,2022,6,30,105.4,70.6,133.2,32.24,105.33694250667953,70.59659090909092,132.5009040783074,32.23967769335268,No
46,47,2022-06-30,20:49:11,106,71.0,139.0,32.3,20,49,11,2022,6,30,107.0,70.8,127.8,32.260000000000005,106.94337214563501,70.7977207977208,126.39999903273234,32.25980202569453,No
47,48,2022-06-30,20:49:28,103,71.0,115.0,32.4,20,49,28,2022,6,30,106.2,70.8,127.2,32.260000000000005,106.14987104212645,70.7977207977208,125.88752935194908,32.25980202569453,No
48,49,2022-06-30,20:49:45,110,71.0,109.0,32.2,20,49,45,2022,6,30,106.8,70.6,123.2,32.260000000000005,106.72739521743618,70.59659090909092,122.11147628035657,32.25980202569453,No
49,50,2022-06-30,20:50:02,105,70.0,135.0,32.2,20,50,2,2022,6,30,107.2,70.4,117.2,32.239999999999995,107.12688415186278,70.39660056657223,116.47881819374972,32.2398022249691,No
50,51,2022-06-30,20:50:37,110,70.0,118.0,32.2,20,50,37,2022,6,30,108.4,70.2,116.4,32.160000000000004,108.36772462735459,70.19774011299435,115.63469799230297,32.15980024968789,No
51,52,2022-06-30,20:50:54,108,70.0,109.0,32.2,20,50,54,2022,6,30,108.2,70.0,116.8,32.120000000000005,108.17218878137963,70.0,116.07846021033203,32.11970074812968,No
52,53,2022-06-30,20:51:11,109,70.0,111.0,32.0,20,51,11,2022,6,30,108.8,70.0,117.6,32.120000000000005,108.79486490119639,70.0,116.65575712101801,32.11970074812968,No
53,54,2022-06-30,20:51:28,109,70.0,111.0,32.0,20,51,28,2022,6,30,109.2,70.0,116.2,32.1,109.18052335210335,70.0,115.21909812142889,32.099750778332464,No
54,55,2022-06-30,20:51:45,108,70.0,139.0,32.2,20,51,45,2022,6,30,109.4,70.0,121.2,32.06,109.38342072078052,70.0,119.95022104640235,32.05980079326,No
55,56,2022-06-30,20:52:02,112,70.0,111.0,32.1,20,52,2,2022,6,30,110.2,70.0,128.0,32.02,110.16610124373328,70.0,126.35355962141324,32.019449489323776,No
56,57,2022-06-30,20:52:19,109,70.0,134.0,32.0,20,52,19,2022,6,30,110.8,70.0,132.8,32.02,110.76583783475148,70.0,131.6832567532035,32.019449489323776,No
57,58,2022-06-30,20:52:36,113,70.0,145.0,31.8,20,52,36,2022,6,30,111.0,70.0,132.2,32.0,110.9746758052579,70.0,131.1351725404964,31.999623821503302,No
58,59,2022-06-30,20:52:53,112,70.0,135.0,32.0,20,52,53,2022,6,30,111.0,70.0,136.2,32.0,110.97467580525793,70.0,136.0426696757125,31.999623821503302,No
59,60,2022-06-30,20:53:10,109,70.0,136.0,32.1,20,53,10,2022,6,30,110.6,69.8,131.6,32.019999999999996,110.55390298376672,69.79768786127168,130.55001705417203,32.019573476997635,No
60,61,2022-06-30,20:53:28,112,70.0,131.0,32.1,20,53,28,2022,6,30,109.8,69.6,130.8,32.059999999999995,109.76572216059964,69.59654178674351,129.88651257165458,32.059925093632955,No
61,62,2022-06-30,20:53:45,107,69.0,111.0,32.1,20,53,45,2022,6,30,109.6,69.4,130.8,32.06,109.5722331756692,69.39655172413794,129.88651257165458,32.059925093632955,No
62,63,2022-06-30,20:54:02,109,69.0,141.0,32.0,20,54,2,2022,6,30,110.2,69.2,125.0,32.08,110.16550383132389,69.19770773638969,123.49338936602265,32.07982557553091,No
63,64,2022-06-30,20:54:19,111,69.0,135.0,32.0,20,54,19,2022,6,30,111.2,69.2,122.8,32.1,111.099518978122,69.19770773638969,121.39533922811304,32.099750778332464,No
64,65,2022-06-30,20:54:36,112,69.0,107.0,32.2,20,54,36,2022,6,30,112.2,69.4,127.2,32.120000000000005,112.13912199146318,69.39655172413794,125.95241847321861,32.119700748129674,No
65,66,2022-06-30,20:54:53,117,70.0,120.0,32.2,20,54,53,2022,6,30,114.2,69.6,127.4,32.160000000000004,114.11220698095549,69.59654178674351,126.11108390138423,32.15980024968789,No
66,67,2022-06-30,20:55:10,112,70.0,133.0,32.2,20,55,10,2022,6,30,115.8,69.8,121.4,32.2,115.71161437772699,69.79768786127168,119.72036837911413,32.2,No
67,68,2022-06-30,20:55:27,119,70.0,142.0,32.2,20,55,27,2022,6,30,115.6,70.0,127.6,32.32000000000001,115.49661598822954,70.0,126.05708260581468,32.31823745410037,No
68,69,2022-06-30,20:56:01,119,70.0,105.0,32.2,20,56,1,2022,6,30,114.8,70.2,131.0,32.32000000000001,114.69504938512328,70.19774011299435,129.43138463326613,32.31823745410037,No
69,70,2022-06-30,20:56:53,111,70.0,138.0,32.8,20,56,53,2022,6,30,115.0,70.2,128.4,32.32000000000001,114.90331172730212,70.19774011299435,126.75863901785239,32.31823745410037,No
70,71,2022-06-30,20:57:10,113,71.0,137.0,32.2,20,57,10,2022,6,30,114.8,70.2,121.4,32.3,114.71557210130679,70.19774011299435,119.76454061103571,32.298040172089884,No
71,72,2022-06-30,20:57:27,113,70.0,120.0,32.2,20,57,27,2022,6,30,113.6,70.2,122.2,32.28,113.55311411517394,70.19774011299435,120.77561169194811,32.27786811889483,No
72,73,2022-06-30,20:57:44,118,70.0,107.0,32.1,20,57,44,2022,6,30,113.8,70.2,119.4,32.160000000000004,113.76093116792102,70.19774011299435,118.435067648306,32.159925326695706,No
73,74,2022-06-30,20:58:01,113,70.0,109.0,32.1,20,58,1,2022,6,30,113.4,70.0,113.4,32.14,113.34971315258642,70.0,112.95924950649407,32.13992537313433,No
74,75,2022-06-30,20:58:18,112,70.0,124.0,32.2,20,58,18,2022,6,30,113.2,70.2,115.6,32.14,113.14703956726697,70.19774011299435,114.77365413985689,32.13992537313433,No
75,76,2022-06-30,20:58:35,111,70.0,107.0,32.1,20,58,35,2022,6,30,112.0,70.2,118.4,32.160000000000004,111.99642840059316,70.19774011299435,117.69504227715696,32.159925326695706,No
76,77,2022-06-30,20:58:52,112,71.0,131.0,32.2,20,58,52,2022,6,30,111.6,70.2,117.8,32.2,111.59784560143628,70.19774011299435,116.98007044042144,32.199875775678656,No
77,78,2022-06-30,20:59:27,112,70.0,121.0,32.2,20,59,27,2022,6,30,111.8,70.0,114.4,32.220000000000006,111.79500238739455,69.99428501449158,113.57544165233776,32.21982605540286,No
78,79,2022-06-30,20:59:44,111,70.0,106.0,32.3,20,59,44,2022,6,30,112.0,70.0,114.6,32.260000000000005,111.99642840059316,69.99428501449157,113.7991312784125,32.25992555831266,No
79,80,2022-06-30,21:00:01,113,69.0,107.0,32.3,21,0,1,2022,6,30,112.0,69.8,110.2,32.279999999999994,111.99642840059316,69.79768786127168,109.94377537401174,32.27995034140286,No
80,81,2022-06-30,21:00:18,112,70.0,108.0,32.3,21,0,18,2022,6,30,111.8,69.8,113.0,32.279999999999994,111.79500238739458,69.79768786127168,112.05552692021134,32.27995034140285,No
81,82,2022-06-30,21:00:35,112,70.0,109.0,32.3,21,0,35,2022,6,30,111.8,69.8,119.4,32.239999999999995,111.79500238739458,69.79768786127168,117.83240282359557,32.239801071894156,No
82,83,2022-06-30,21:01:26,111,70.0,135.0,32.2,21,1,26,2022,6,30,111.0,70.0,121.6,32.18,110.98909019427974,70.0,120.3023968898179,32.1795768175303,No
83,84,2022-06-30,21:01:43,111,70.0,138.0,32.1,21,1,43,2022,6,30,110.8,70.0,127.4,32.019999999999996,110.79126808928135,70.0,126.25643303455509,32.0175542948799,No
84,85,2022-06-30,21:02:00,109,70.0,118.0,32.0,21,2,0,2022,6,30,110.8,70.0,135.0,31.98,110.79126808928135,70.0,134.2990269548785,31.97805470082385,No
85,86,2022-06-30,21:02:18,111,70.0,137.0,31.5,21,2,18,2022,6,30,111.2,70.0,131.2,31.959999999999997,111.18410002528283,70.0,130.06054560519812,31.9582802453406,No
86,87,2022-06-30,21:02:35,112,70.0,147.0,32.1,21,2,35,2022,6,30,111.2,70.0,133.4,31.939999999999998,111.18410002528282,70.0,131.89596110277262,31.93840687000296,No
87,88,2022-06-30,21:02:52,113,70.0,116.0,32.1,21,2,52,2022,6,30,111.6,70.0,139.6,31.939999999999998,111.59429960440399,70.0,138.32980742138432,31.93840687000296,No
88,89,2022-06-30,21:03:09,111,70.0,149.0,32.0,21,3,9,2022,6,30,111.6,70.0,143.0,32.04,111.59429960440399,70.0,141.48379591427613,32.039925140361824,No
89,90,2022-06-30,21:03:26,111,70.0,149.0,32.0,21,3,26,2022,6,30,111.0,70.0,138.6,31.98,110.98558277726366,70.0,136.84752320695307,31.979699009621825,No
90,91,2022-06-30,21:03:43,111,70.0,154.0,32.0,21,3,43,2022,6,30,110.6,70.0,139.8,31.96,110.59414990859233,70.0,138.45411758822092,31.959798994974875,No
91,92,2022-06-30,21:04:00,109,70.0,125.0,31.8,21,4,0,2022,6,30,110.0,69.8,131.8,31.98,109.98535427503661,69.79768786127168,129.61443886879644,31.979699009621825,No
92,93,2022-06-30,21:04:17,111,70.0,122.0,32.0,21,4,17,2022,6,30,110.0,69.6,129.4,32.02,109.98535427503663,69.59654178674351,127.66888678473927,32.019449489323776,No
93,94,2022-06-30,21:04:34,108,69.0,109.0,32.1,21,4,34,2022,6,30,109.8,69.4,126.2,32.080000000000005,109.78756518001094,69.39655172413794,125.26091810828247,32.07907532128473,No
94,95,2022-06-30,21:05:09,111,69.0,137.0,32.2,21,5,9,2022,6,30,110.0,69.2,123.0,32.12,109.98899009108197,69.19770773638969,121.68117026730249,32.11957714260728,No
95,96,2022-06-30,21:05:26,110,69.0,138.0,32.3,21,5,26,2022,6,30,112.2,69.2,126.8,32.120000000000005,111.99008956480627,69.19770773638969,125.04229768491732,32.11957714260728,No
96,97,2022-06-30,21:05:43,110,69.0,109.0,32.0,21,5,43,2022,6,30,112.8,69.4,127.2,32.14,112.62134454289776,69.39655172413794,125.56136476652273,32.13955177182235,No
97,98,2022-06-30,21:06:00,122,70.0,141.0,32.0,21,6,0,2022,6,30,118.0,69.6,127.8,32.1,117.13217725936866,69.59654178674351,126.056500100945,32.09950271788402,No
98,99,2022-06-30,21:06:17,111,70.0,111.0,32.2,21,6,17,2022,6,30,122.0,69.8,122.0,32.04,121.09992491568192,69.79768786127168,120.21343582021669,32.039800995024876,No
99,100,2022-06-30,21:06:34,137,70.0,140.0,32.0,21,6,34,2022,6,30,127.6,70.0,123.6,32.04,126.76300434425802,70.0,122.0542654421489,32.039800995024876,No
100,101,2022-06-30,21:06:51,130,70.0,109.0,32.0,21,6,51,2022,6,30,129.2,70.0,123.6,31.979999999999997,128.4050737435803,70.0,122.0542654421489,31.979197261808256,No
101,102,2022-06-30,21:07:08,138,70.0,117.0,32.0,21,7,8,2022,6,30,134.6,70.2,126.0,31.96,134.49306133169898,70.19774011299435,124.73040303309735,31.95942139367255,No
102,103,2022-06-30,21:07:25,130,70.0,141.0,31.7,21,7,25,2022,6,30,129.4,70.4,120.2,31.96,128.57973035797303,70.39660056657223,119.18209798344053,31.95942139367255,No
103,104,2022-06-30,21:07:42,138,71.0,123.0,32.1,21,7,42,2022,6,30,125.8,70.4,119.8,31.98,124.61791600790117,70.39660056657223,118.69692099404688,31.97932093794317,No
104,105,2022-06-30,21:08:00,111,71.0,111.0,32.0,21,8,0,2022,6,30,121.0,70.6,123.2,31.98,120.05322266876638,70.59659090909092,121.8330419040997,31.97932093794317,No
105,106,2022-06-30,21:08:51,112,70.0,107.0,32.1,21,8,51,2022,6,30,118.8,70.6,118.6,32.059999999999995,118.0379772234814,70.5965909090909,117.8629628592812,32.059925093632955,No
106,107,2022-06-30,21:09:08,114,71.0,134.0,32.0,21,9,8,2022,6,30,113.4,70.4,121.8,32.059999999999995,113.32245883966519,70.39660056657223,120.52168289384258,32.059925093632955,No
107,108,2022-06-30,21:09:25,119,70.0,118.0,32.1,21,9,25,2022,6,30,114.0,70.2,121.6,32.08,113.93466158970838,70.19774011299435,120.28422413678206,32.07995003123048,No
108,109,2022-06-30,21:09:42,111,70.0,139.0,32.1,21,9,42,2022,6,30,114.2,70.4,123.6,32.11999999999999,114.14016919956212,70.39660056657225,122.64092491167108,32.11970190693595,No
109,110,2022-06-30,21:09:59,114,70.0,110.0,32.1,21,9,59,2022,6,30,115.4,70.4,124.8,32.160000000000004,115.29453212983259,70.39660056657223,123.61062994270007,32.15980141138937,No
110,111,2022-06-30,21:10:16,113,71.0,117.0,32.3,21,10,16,2022,6,30,114.4,70.4,123.8,32.2,114.32292603599261,70.39660056657223,122.4752435613439,32.19975155231579,No
111,112,2022-06-30,21:10:33,120,71.0,140.0,32.2,21,10,33,2022,6,30,114.8,70.4,117.2,32.220000000000006,114.7412487752739,70.39660056657223,116.10546626312832,32.21982605540286,No
112,113,2022-06-30,21:10:51,114,70.0,113.0,32.3,21,10,51,2022,6,30,114.4,70.4,118.2,32.260000000000005,114.33027139080659,70.39660056657223,117.18098826148996,32.25992555831266,No
113,114,2022-06-30,21:11:08,113,70.0,106.0,32.2,21,11,8,2022,6,30,114.6,70.2,115.8,32.260000000000005,114.53357296634766,70.19774011299435,114.55845865964378,32.25992555831266,No
114,115,2022-06-30,21:11:25,112,70.0,115.0,32.3,21,11,25,2022,6,30,113.4,70.0,109.6,32.239999999999995,113.39432236159578,70.0,109.46357865502092,32.23980107189416,No
115,116,2022-06-30,21:11:42,114,70.0,105.0,32.3,21,11,42,2022,6,30,113.0,70.0,109.2,32.2,112.99292024309256,70.0,109.08278960869261,32.19975155231579,No
116,117,2022-06-30,21:11:59,114,70.0,109.0,32.1,21,11,59,2022,6,30,112.4,70.0,114.8,32.16,112.37997695557549,70.0,113.98487446118241,32.15955242195784,No
117,118,2022-06-30,21:12:16,112,70.0,111.0,32.1,21,12,16,2022,6,30,112.4,70.0,114.2,32.1,112.37997695557549,70.0,113.38282815219259,32.09962732630813,No
118,119,2022-06-30,21:12:33,110,70.0,134.0,32.0,21,12,33,2022,6,30,112.2,70.0,114.0,32.059999999999995,112.18424240230813,70.0,113.14786432697699,32.059925093632955,No
119,120,2022-06-30,21:12:50,112,70.0,112.0,32.0,21,12,50,2022,6,30,111.4,70.0,114.2,32.12,111.38705754336556,70.0,113.3618200874292,32.11933107889007,No
120,121,2022-06-30,21:13:07,113,70.0,104.0,32.1,21,13,7,2022,6,30,111.4,70.0,113.0,32.1,111.38705754336556,70.0,112.05395493637823,32.09925696164441,No
121,122,2022-06-30,21:13:24,110,70.0,110.0,32.4,21,13,24,2022,6,30,112.0,70.0,108.0,32.14,111.98918849346806,70.0,107.91447667197183,32.13930540196531,No
122,123,2022-06-30,21:13:42,112,70.0,105.0,32.0,21,13,42,2022,6,30,112.4,69.8,109.0,32.17999999999999,112.38347842293729,69.79768786127168,108.81055682275891,32.17945389950197,No
123,124,2022-06-30,21:13:59,113,70.0,109.0,32.2,21,13,59,2022,6,30,112.6,69.6,111.6,32.18,112.57990944022391,69.59654178674351,111.40063483708191,32.17945389950197,No
124,125,2022-06-30,21:14:16,114,69.0,117.0,32.2,21,14,16,2022,6,30,113.0,69.6,116.0,32.1,112.99292024309256,69.59654178674351,115.29265764110414,32.099750778332464,No
125,126,2022-06-30,21:14:33,114,69.0,117.0,32.1,21,14,33,2022,6,30,113.0,69.6,122.2,32.14,112.99292024309256,69.59654178674351,121.36797896121641,32.13980045164626,No
126,127,2022-06-30,21:14:50,112,70.0,132.0,32.0,21,14,50,2022,6,30,112.2,69.6,128.0,32.1,112.16970791153524,69.59654178674351,127.32659864504987,32.09975077833247,No
127,128,2022-06-30,21:15:07,112,70.0,136.0,32.2,21,15,7,2022,6,30,111.0,69.8,125.6,32.06,110.95664991814722,69.79768786127168,124.23627725578443,32.05980079326,No
128,129,2022-06-30,21:15:24,109,70.0,138.0,32.0,21,15,24,2022,6,30,109.6,70.0,124.6,32.059999999999995,109.56140536174708,70.0,123.06948130030895,32.05980079326,No
129,130,2022-06-30,21:15:41,108,70.0,105.0,32.0,21,15,41,2022,6,30,108.2,70.2,125.8,32.06,108.15079193844213,70.19774011299435,124.07540327150468,32.05980079326,No
130,131,2022-06-30,21:15:58,107,70.0,112.0,32.1,21,15,58,2022,6,30,106.8,70.4,120.8,32.019999999999996,106.77604035223435,70.39660056657223,119.17773961754557,32.01995012468828,No
131,132,2022-06-30,21:16:15,105,71.0,138.0,32.0,21,16,15,2022,6,30,106.4,70.6,114.8,31.98,106.38644852438318,70.59659090909092,113.72158754456639,31.979699009621825,No
132,133,2022-06-30,21:16:32,105,71.0,111.0,32.0,21,16,32,2022,6,30,106.0,70.8,118.4,31.979999999999997,105.9924526958472,70.7977207977208,117.44450764427278,31.979699009621825,No
133,134,2022-06-30,21:16:50,107,71.0,108.0,31.8,21,16,50,2022,6,30,106.2,71.0,122.2,31.96,106.187244084659,71.0,121.12897779156707,31.959798994974875,No
134,135,2022-06-30,21:17:07,106,71.0,123.0,32.0,21,17,7,2022,6,30,106.2,71.0,115.6,31.96,106.187244084659,71.0,114.79541411315908,31.959798994974875,No
135,136,2022-06-30,21:17:24,108,71.0,131.0,32.0,21,17,24,2022,6,30,108.0,70.8,115.8,31.98,107.91035738677819,70.7977207977208,115.00780743492128,31.979699009621825,No
136,137,2022-06-30,21:17:41,105,71.0,105.0,32.0,21,17,41,2022,6,30,108.8,70.8,122.2,32.04,108.70044945370776,70.7977207977208,120.8929427936751,32.039925140361824,No
137,138,2022-06-30,21:17:58,114,70.0,112.0,32.1,21,17,58,2022,6,30,109.0,70.8,119.0,32.059999999999995,108.9092041608481,70.7977207977208,117.4408595500967,32.059925093632955,No
138,139,2022-06-30,21:18:15,111,71.0,140.0,32.1,21,18,15,2022,6,30,108.4,70.8,117.6,32.059999999999995,108.2852222887924,70.7977207977208,116.26406733124418,32.059925093632955,No
139,140,2022-06-30,21:18:32,107,71.0,107.0,32.1,21,18,32,2022,6,30,109.0,70.6,125.0,32.08,108.9092041608481,70.5965909090909,123.38369636013947,32.07995003123048,No
140,141,2022-06-30,21:18:49,105,71.0,124.0,32.0,21,18,49,2022,6,30,108.0,70.6,130.4,32.1,107.96294962020795,70.59659090909092,128.90031141509746,32.09987538868249,No
141,142,2022-06-30,21:19:06,108,70.0,142.0,32.1,21,19,6,2022,6,30,107.6,70.6,133.2,32.11999999999999,107.57896606805325,70.59659090909092,131.0948790428306,32.119825513418604,No
142,143,2022-06-30,21:19:23,109,70.0,139.0,32.2,21,19,23,2022,6,30,107.8,70.6,133.8,32.14,107.77963796170346,70.59659090909092,131.97685815530244,32.13980045164625,No
143,144,2022-06-30,21:19:41,109,71.0,154.0,32.2,21,19,41,2022,6,30,108.6,70.6,136.4,32.160000000000004,108.59778597785977,70.59659090909092,134.69760896792351,32.159925326695706,No
144,145,2022-06-30,21:19:58,108,71.0,110.0,32.2,21,19,58,2022,6,30,109.2,70.8,134.2,32.160000000000004,109.19127600902482,70.7977207977208,132.58548737385667,32.159925326695706,No
145,146,2022-06-30,21:20:15,109,71.0,137.0,32.1,21,20,15,2022,6,30,109.0,71.0,132.8,32.12,108.98909018116305,71.0,131.25760450645862,32.119825513418604,No
